ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.creditcard.transactions.transaction.TransactionController,3,1,0,8,10,0,0,8,3,0,35,1,0,0,0.5556,0,0,10.3333,0.07619
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transaction.TransactionRC,7,2,0,1,10,13,0,1,4,0.7917,107,0.375,6,0.75,0.3333,1,1,13.1429,0.00134
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transaction.TransactionReq,36,1,0,2,42,482,0,2,35,0.859,855,1,0,0,0.4907,1,1,22.3333,0.00006
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transaction.TransactionRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transactionquery.TransactionQuery,4,1,0,13,36,2,0,13,2,0.6667,105,1,0,0,0.6667,0,0,24.75,0.03095
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transactionquery.TransactionQueryController,3,1,0,5,13,0,0,5,3,0,45,1,0,0,0.5556,0,0,13.6667,0.03704
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transactionquery.TransactionQueryRC,7,2,0,1,10,13,0,1,4,0.7857,94,0.4286,5,0.75,0.3333,1,1,11.4286,0.00152
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transactionquery.TransactionQueryReq,16,1,0,2,22,72,0,2,15,0.68,305,1,0,0,0.4792,1,1,17.75,0.00041
,,,,,,,,,,,,,,,,,,,
com.ntou.creditcard.transactions.transactionquery.TransactionQueryRes,3,2,0,1,4,1,0,1,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.02381
,,,,,,,,,,,,,,,,,,,
com.ntou.db.ConnControl,6,1,0,2,23,7,0,2,5,0.85,114,0.5,0,0,0.4,0,0,17.3333,0.00292
,,,,,,,,,,,,,,,,,,,
com.ntou.db.billofmonth.BillofmonthDAO,5,2,0,5,42,0,0,5,4,0.9531,609,0.0625,0,0.5714,0.875,0,0,117.6,0.00164
,,,,,,,,,,,,,,,,,,,
com.ntou.db.billofmonth.BillofmonthImpl,4,1,0,3,8,0,0,3,4,0,26,1,0,0,0.6667,0,0,5.25,0.02885
,,,,,,,,,,,,,,,,,,,
